cityOriginId,cityOriginName,allProperties,destinationType,propertyId,propertyClass,reviewScore,page,position,propertyOriginName,propertyURL,propertyLatitude,propertyLongitude,hotel_desc,propertyAddress,numberOfReviews
20023488,"Orlando, Florida, USA",1813,city,56142,3,8.2,9,131,Best Western Lake Buena Vista – Disney Springs® Resort Area,"http://www.booking.com/hotel/us/best-western-lake-buena-vista-in-the-walt-disney-world-resort-area.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=4e17f272b031a856aa5dec0c70af75d923ab68acX131;highlight_room=",-81.50853127,28.37809852,"Located on property at Walt Disney World Resort, this Lake Buena Vista hotel features an outdoor pool, restaurant, and free WiFi access.","2000 Hotel Plaza Boulevard, Lake Buena Vista, Orlando, FL 32830, United States of America",813
20023488,"Orlando, Florida, USA",1813,city,56178,3,7.1,5,73,Seralago Hotel & Suites Main Gate East,"http://www.booking.com/hotel/us/seralago-and-suites.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=1f5f9d5b71eb3ec4be5887f9ffaf4c803dc28436X73;highlight_room=",-81.51189744,28.33201877,"This Kissimmee Seralago Hotel and Suites Main Gate East is adjacent to Old Town amusement park off US Highway 192. Features include 2 heated outdoor pools with 2 hot tubs, 2 restaurants, and a cinema....","5678 West Irlo Bronson Memorial Highway, Celebration, Orlando, FL 34746, United States of America",1782
20023488,"Orlando, Florida, USA",1813,city,56230,3,6.5,4,56,Baymont Inn and Suites Florida Mall,"http://www.booking.com/hotel/us/holiday-inn-express-suites.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=eac4cd41dc62fd918285ee3d7d2cd06237525be8X56;highlight_room=",-81.40434086,28.43824209,Orlando International Airport is 10 minutes' drive from this Florida hotel. Guests will enjoy an outdoor pool and spacious rooms with free WiFi.,"8820 South Orange Blossom Trail, Orlando, FL 32809, United States of America",1193
20023488,"Orlando, Florida, USA",1813,city,56235,2,7.5,7,103,Quality Suites Orlando I-Drive Convention Center,"http://www.booking.com/hotel/us/quality-suites-universal.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=0b1e4c4b14e41d0b40e22f4f81d99353352d9aa9X103;highlight_room=",-81.46888554,28.45392057,"Quality Suites Orlando I-Drive is located one block from the world-famous International Drive, with easy access to major attractions like Walt Disney World amusement park, SeaWorld Orlando marine...","7400 Canada Avenue, Orlando, FL 32819, United States of America",583
20023488,"Orlando, Florida, USA",1813,city,56267,3,8.3,14,205,Rosen Inn Closest to Universal,"http://www.booking.com/hotel/us/rodeway-inn-international.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=adf6053d8646c40f99820dcdc07c96b09541bffeX205;highlight_room=",-81.4694649,28.4609572,"Located .25 miles from Universal Orlando Resort, this hotel provides free shuttle service to SeaWorld Orlando and Universal Orlando Resort. It features an outdoor pool.","6327 International Drive, Orlando, FL 32819, United States of America",1263
20023488,"Orlando, Florida, USA",1813,city,56495,4,8.6,1,1,Floridays Resort Orlando,"http://www.booking.com/hotel/us/floridays-resort-orlando-orlando-florida-fl.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=09b37eedb7dfc640e640ee4b88d17332608e40f8X1;highlight_room=",-81.48058534,28.38720022,"Situated on 20 private acres off of International Drive, this luxury, pet-friendly Orlando resort boasts a 22,000-square-foot welcome centre and 2 outdoor pools.","12562 International Drive, Orlando, FL 32821, United States of America",3868
20023488,"Orlando, Florida, USA",1813,city,56548,2,6.6,5,72,Floridian Express International Drive,"http://www.booking.com/hotel/us/orlando-metropolitan-express.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=1f5f9d5b71eb3ec4be5887f9ffaf4c803dc28436X72;highlight_room=",-81.46838665,28.46099021,This Floridian Express International Drive hotel is less than 2 km from Universal Orlando Resort. Features include a free transfer service to and from Universal Theme Parks and Disney World.,"6323 International Drive, Orlando, FL 32819, United States of America",2228
20023488,"Orlando, Florida, USA",1813,city,56555,3,8.7,8,114,Sheraton Suites Orlando Airport Hotel,"http://www.booking.com/hotel/us/sheraton-suites-orlando-airport.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=67e808f3da94f0520113a44d7c2c6dee1d53f42cX114;highlight_room=",-81.30758822,28.45624573,"This Sheraton Suites Orlando Airport Hotel is 4 minute-drive from Orlando International Airport. Features include a free 24-hour transfer service, a restaurant, and rooms with free Wi-Fi.","7550 Augusta National Drive, Orlando, FL 32822, United States of America",669
20023488,"Orlando, Florida, USA",1813,city,56604,4,8.9,1,3,Sheraton Vistana Villages Resort Villas,"http://www.booking.com/hotel/us/sheraton-vistana-villages.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=09b37eedb7dfc640e640ee4b88d17332608e40f8X3;highlight_room=",-81.47750616,28.38630825,"This Orlando resort is a 15-minute drive from Walt Disney World and Universal Studios Theme Park. Features include an outdoor water park, theme park ticket services, and apartments with free Wi-Fi.","12401 International Drive, Orlando, FL 32821, United States of America",2735
20023488,"Orlando, Florida, USA",1813,city,56605,4,8.8,1,10,Sheraton Vistana Resort Villas,"http://www.booking.com/hotel/us/sheraton-vistana-resort.html?label=gen173nr-1DCAEoggJCAlhYSDNiBW5vcmVmaMIBiAEBmAExuAEGyAEM2AED6AEB-AECqAID;sid=0e088a816401f8e026640121bd2341bb;ucfs=1;room1=A,A;dest_type=city;dest_id=20023488;srfid=09b37eedb7dfc640e640ee4b88d17332608e40f8X10;highlight_room=",-81.50520802,28.36770742,"Just 3 miles from the Walt Disney World entrance, this resort offers ticket sales and 7 outdoor heated pools. The resort features 6 restaurants and spacious villas with kitchen facilities.","8800 Vistana Centre Drive, Lake Buena Vista, Orlando, FL 32821, United States of America",1923
