cityOriginId,cityOriginName,allProperties,destinationType,propertyId,propertyClass,reviewScore,page,position,propertyOriginName,propertyURL,propertyLatitude,propertyLongitude,hotel_desc,propertyAddress,numberOfReviews
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,565266,3.5,4.4,2,51,Hilton Grand Vacations at SeaWorld,https://travelads.hlserve.com/TravelAdsService/v3/Hotels/TravelAdClickRedirect?trackingData=Cmp-pEW9vYjLnQ2f/3XgRM/PCnPeYgJvnwY5gp0P7rajc6dottFs3teIV21O7YCDQWXWgtBWzwN7msdLG3PSrFBwp652qZKnftL2DlQ7eyJHOU8bLWP23O2cPDcLB9N9traZfru48SeljYB1uvS3ahJ1lVRlSoQ4pNQM1fyiWs3RStLsu64gbQnn8A19ZRQouU4MRCDNqnSMVTWZVZZPwv0O9Zbd3TBQrWg0dyg6xfddCgZRWj67IBSmPJI/vsQxrs6mxh/4kiiadPRNBwzSfQneg5SgYBnEHI23y8xf/gKqJML/cWWwwxOPQpbRoqAKLEFK5e+4uv+bvz627PEMMsbUQ5+nIvxlxSdIT2qqAG3LGWB7ikaCrNcIXoTNUQh6jSMi+mSCJ/tGoPvWHYyQpcndkZGBFVxDenhDrsqm7w5r558wmxH+ss8wqw4SkV5Q024hMm1dasf9790bnhAJeucQW+lKtwIiJMRDgmsVKKvZStQK95VeCOYtZ4JPzvDtBYfQRRa5waqM5JzCL03+1494zhJnFu+TnWR7STG4fqbwPE/rEWIpnn8l6lFl19kNGmKUvdhqLR8Un3IHN5NMOno6VS2i4ht88Kvd9IE474qYdxX9tlM2JI/QxXyZxkbLqBAKq3blx+nxVa5arYXpxttyLJFXgbSKWuQX0XOfEcNZICiXO38U02Kh8UMHQ8s6wUl7ZXgJsP2DlYg+41tgsXKIdBdLx9Q1Gdzb2+jjCWjXWwW2FuO8VI+yuKQgLBI/6vFOBmYTEcslYgKw8VJ/Ujntu837wc0iQBNurbw7FVVxnTNx1qsX5w21t8ELOKX5AFIq3FjQmle4fAvEimyw0VkFfEJehobvt1jd7aJyBzyBx/CtNyV3jbhPG4tMpWI8xM1mtcWZw+lmL3uL35LnK9Rrw/8oBMl9w0kpfbUsuVQkdYLX3OcvzuoXDUI5Ot8+lWuUED7se+PuwPFV6VS5VQAKjDWXYlndRbxUW/K9qRwku9qx4md79ueu1l8WWkeaH4eoa5XvZdmVgdRzA3K9/mFvVMRfpuXKr+ifyhDB9bzkWp9YPpL7a+wvnkWWHIgBAYLtWqyFm/WyctUZwdFBZBgelKi1oQXnG2w05vlYgLWkvNcHqkgfHmzSXA==&rank=2&testVersionOverride=9662.36494.1%2C11149.42123.1%2C12564.46267.0&destinationUrl=https%3A%2F%2Fwww.expedia.com%2FInternational-Drive-Hotels-Hilton-Grand-Vacations-At-SeaWorld.h565266.Hotel-Information%3Fchkin%3D12%252F15%252F2016%26chkout%3D12%252F16%252F2016%26rm1%3Da2%26hwrqCacheKey%3D70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830315674%26c%3D0e672583-0ab8-4560-b811-f88da5442c7d%26&candidateHmGuid=9d5bcc63-b06f-402b-a81a-6223b305b38a&beaconIssued=2016-12-15T19:30:28,28.406245,-81.469712,"Within 4 miles of <strong>Walt Disney World</strong> Theme Parks, this 33-acre resort is within easy reach of SeaWorld, Universal Orlando, Aquatica, Discovery Cove, and <strong>Walt Disney World</strong> Resort.","6924 Grand Vacations Way, Orlando, FL, 32821",1027
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,578925,3,3.6,4,158,Oak Plantation Resort - Vacation Villas,https://www.expedia.com/Disneys-Maingate-East-Hotels-Oak-Plantation-Resort-Vacation-Villas.h578925.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830592600&c=a1679c85-2994-4f7f-b944-09da28eb71e9&,28.307203,-81.446174,"This villa-style Kissimmee resort sits on 16 forested acres, with a lagoon and several kid-friendly pools, 8 miles from <b>Walt Disney World</b> Theme Parks; Gatorland is 4 miles away.","4090 Enchanted Oaks Cir, Kissimmee, FL, 34741",1497
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,692650,3.5,4.2,1,27,Liki Tiki Village by Diamond Resorts,https://www.expedia.com/Disneys-Maingate-West-Hotels-Liki-Tiki-Village-By-Diamond-Resorts.h692650.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830145800&c=c6455d20-0354-47e9-bebd-51d55ceef93b&,28.348943,-81.654155,"Liki Tiki Village by Diamond Resorts is a 64-acre hotel in southwest Orlando, a half-hour drive from Orlando International Airport. Guests can drive 10 minutes to <b>Walt Disney World</b> Resort, 22 minutes to SeaWorld®, and 32 minutes to Universal Orlando.","17777 Bali Blvd, Winter Garden, FL, 34787",2155
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,692651,3,4.5,3,91,Parkway International Resort by Diamond Resorts,https://www.expedia.com/Disneys-Maingate-East-Hotels-Parkway-International-Resort-By-Diamond-Resorts.h692651.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830436393&c=1111bb30-817f-4ee2-8de8-a701624c650d&,28.336506,-81.534529,"Situated on lush grounds less than 1 mile from <b>Walt Disney World</b> Resort, this Kissimmee hotel is 1 mile from Old Town and less than 3 miles from the <b>Downtown Disney</b> Area.","6200 Safari Trl, Kissimmee, FL, 34747",807
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,804984,4,3.7,1,20,Westgate Lakes Resort & Spa Universal Studios Area,https://www.expedia.com/International-Drive-Hotels-Westgate-Lakes-Resort-Spa-Universal-Studios-Area.h804984.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830145800&c=c6455d20-0354-47e9-bebd-51d55ceef93b&,28.420743,-81.476168,"The Westgate Lakes Resort & Spa Universal Studios Area is perfect for families and closely located to Orlando's theme parks. SeaWorld® and Universal Studios Orlando® are a 5-minute drive, and <b>Walt Disney World</b> Resort is 10 minutes away. The hotel is also just minutes away from the Orlando Orange County Convention Center.","10000 Turkey Lake Rd, Orlando, FL, 32819",2865
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,807800,4,4.4,6,228,Gaylord Palms Resort & Convention Center,https://www.expedia.com/Disneys-Maingate-East-Hotels-Gaylord-Palms-Resort-Convention-Center.h807800.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830942838&c=44495c26-2779-4e68-8b74-3a668e6c8ca9&,28.344363,-81.52496,"Located a half-mile mile from <b>Walt Disney World</b> Resort (Disney's Maingate East), this resort is near the <b>Downtown Disney</b> Area and SeaWorld, Universal Studios Florida, and Pointe Orlando shops are within 10 miles.","6000 West Osceola Parkway, Kissimmee, FL, 34746",887
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,853519,4,4.2,7,299,Marriott's Grande Vista,https://www.expedia.com/International-Drive-Hotels-Marriotts-Grande-Vista.h853519.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481831097406&c=30e85af8-b1be-47fb-a821-4e9cd510a85b&,28.395985,-81.454921,"The 200-acre Marriott's Grande Vista Condominium Resort provides a tropical setting combined with recreational fun, 0.5 mile from SeaWorld and 8 miles from <b>Walt Disney World</b> Resort Theme Parks.","5925 Avenida Vista, Orlando, FL, 32821",435
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,856460,3,4.3,7,292,Residence Inn by Marriott Orlando at SeaWorld,https://www.expedia.com/International-Drive-Hotels-Residence-Inn-By-Marriott-Orlando-At-SeaWorld.h856460.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481831097406&c=30e85af8-b1be-47fb-a821-4e9cd510a85b&,28.406492,-81.474402,"This all-suite hotel is only a quarter-mile from SeaWorld, Aquatica and Discovery Cove, and less than 15 minutes drive from Universal Orlando and <b>Walt Disney World</b> Resort; Orlando International Airport is 13 miles away.","11000 Westwood Blvd, Orlando, FL, 32821",780
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,856706,4,4.4,5,192,Universal's Loews Royal Pacific Resort,https://www.expedia.com/Orlando-Hotels-Universals-Loews-Royal-Pacific-Resort.h856706.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481830777134&c=5eb48d13-90e5-43dd-b832-e039b76ffc04&,28.470401,-81.467831,"ocated a short walk from Universal Studios Florida™, Universal’s Islands of Adventure™ and Universal CityWalk™, this 1000-room hotel offers Early Park Admission* to The Wizarding World of Harry Potter™ 1 hour before the theme park opens with valid theme park admission.","6300 Hollywood Way, Orlando, FL, 32819",870
178294,"Orlando (and vicinity), Florida, United States of America",3165,MULTICITY,859669,2,2.5,9,357,Crestwood Suites of Orlando-UCF Area,https://www.expedia.com/Orlando-Hotels-Crestwood-Suites-Of-Orlando-UCF-Area.h859669.Hotel-Information?chkin=12%2F15%2F2016&chkout=12%2F16%2F2016&rm1=a2&hwrqCacheKey=70a08fc3-33e2-4fae-b471-834df9e0d120HWRQ1481831358983&c=355a7912-7d30-4c7f-aa26-0946b9e108ff&,28.59753,-81.222376,This hotel is less than a mile from University of Central Florida and 3 miles from Waterford Lakes Town Center.,"11424 University Blvd, Orlando, FL, 32817",407
